"","No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College"
"1",21,"Jimmy Butler","SF","6-8",236,"September 14, 1989","us","5","Marquette University"
"2",0,"Isaiah Canaan","SG","6-0",201,"May 21, 1991","us","3","Murray State University"
"3",7,"Michael Carter-Williams","PG","6-6",190,"October 10, 1991","us","3","Syracuse University"
"4",6,"Cristiano Felicio","C","6-10",275,"July 7, 1992","br","1",""
"5",22,"Taj Gibson","PF","6-9",225,"June 24, 1985","us","7","University of Southern California"
"6",2,"Jerian Grant","PG","6-4",195,"October 9, 1992","us","1","University of Notre Dame"
"7",31,"R.J. Hunter","SG","6-5",185,"October 24, 1993","us","1","Georgia State University"
"8",77,"Joffrey Lauvergne","C","6-11",220,"September 30, 1991","fr","2",""
"9",8,"Robin Lopez","C","7-0",255,"April 1, 1988","us","8","Stanford University"
"10",11,"Doug McDermott","SF","6-8",225,"January 3, 1992","us","2","Creighton University"
"11",44,"Nikola Mirotic","PF","6-10",220,"February 11, 1991","me","2",""
"12",11,"Anthony Morrow","SG","6-5",210,"September 27, 1985","us","8","Georgia Institute of Technology"
"13",22,"Cameron Payne","PG","6-3",185,"August 8, 1994","us","1","Murray State University"
"14",5,"Bobby Portis","PF","6-11",250,"February 10, 1995","us","1","University of Arkansas"
"15",9,"Rajon Rondo","PG","6-1",186,"February 22, 1986","us","10","University of Kentucky"
"16",45,"Denzel Valentine","SG","6-6",212,"November 16, 1993","us","R","Michigan State University"
"17",3,"Dwyane Wade","SG","6-4",220,"January 17, 1982","us","13","Marquette University"
"18",16,"Paul Zipser","SF","6-8",215,"February 18, 1994","de","R",""
