"","No.","Player","Pos","Ht","Wt","Birth.Date","Var.7","Exp","College"
"1",5,"Lavoy Allen","PF","6-9",260,"February 4, 1989","us","5","Temple University"
"2",0,"Aaron Brooks","PG","6-0",161,"January 14, 1985","us","8","University of Oregon"
"3",25,"Rakeem Christmas","PF","6-9",250,"December 1, 1991","us","1","Syracuse University"
"4",11,"Monta Ellis","SG","6-3",185,"October 26, 1985","us","11",""
"5",13,"Paul George","SF","6-9",220,"May 2, 1990","us","6","California State University, Fresno"
"6",7,"Al Jefferson","C","6-10",289,"January 4, 1985","us","12",""
"7",0,"C.J. Miles","SF","6-6",225,"April 18, 1987","us","11",""
"8",32,"Georges Niang","PF","6-8",230,"June 17, 1993","us","R","Iowa State University"
"9",40,"Glenn Robinson","SF","6-6",222,"January 8, 1994","us","2","University of Michigan"
"10",1,"Kevin Seraphin","PF","6-9",285,"December 7, 1989","gf","6",""
"11",6,"Lance Stephenson","SG","6-5",230,"September 5, 1990","us","6","University of Cincinnati"
"12",2,"Rodney Stuckey","PG","6-5",210,"April 21, 1986","us","9","Eastern Washington University"
"13",44,"Jeff Teague","PG","6-2",186,"June 10, 1988","us","7","Wake Forest University"
"14",33,"Myles Turner","C","6-11",243,"March 24, 1996","us","1","University of Texas at Austin"
"15",3,"Joe Young","PG","6-2",180,"June 27, 1992","us","1","University of Houston, University of Oregon"
"16",21,"Thaddeus Young","PF","6-8",221,"June 21, 1988","us","9","Georgia Institute of Technology"
