"","team","experience","salary","points3","points2","points1","points","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency"
"1","ATL",100,93.41,660,2337,1453,1453,832,2676,1846,645,381,1201,1432,147.212304829632
"2","BOS",63,91.92,985,2183,1536,1536,744,2698,2069,617,340,1037,1686,148.239471075772
"3","BRK",70,76.22,777,2040,1444,1444,689,2697,1664,568,382,1212,1620,167.033308953629
"4","CHI",59,92.5,565,2162,1330,1330,865,2419,1746,605,339,956,1275,139.097776910387
"5","CHO",63,88.5,808,2089,1497,1497,621,2615,1806,543,316,820,1177,141.50192409742
"6","CLE",145,127.25,1030,2148,1384,1384,735,2673,1779,483,304,1020,1356,182.08056471608
"7","DAL",65,92.83,712,1754,1007,1007,521,2063,1183,507,257,674,1229,144.632238905316
"8","DEN",83,79.03,868,2351,1477,1477,872,2660,2015,543,286,1102,1475,172.244482315352
"9","DET",55,103.07,631,2638,1140,1140,908,2838,1732,574,310,932,1467,136.408918920776
"10","GSW",113,100.24,982,2545,1455,1455,770,2869,2486,782,554,1179,1581,175.338438215436
"11","HOU",70,87.39,1140,2011,1623,1623,857,2608,1969,617,331,1113,1473,165.284764302782
"12","IND",95,92.62,709,2512,1467,1467,742,2702,1844,669,409,1087,1597,148.714114462334
"13","LAC",124,114.78,841,2401,1586,1586,738,2790,1848,612,347,1022,1626,147.073717647971
"14","LAL",65,85.13,582,2069,1021,1021,789,2213,1334,510,267,972,1444,131.456064602322
"15","MEM",90,108.95,757,2176,1489,1489,880,2582,1725,629,335,993,1798,147.553298461331
"16","MIA",63,72.94,799,2349,1217,1217,856,2648,1728,579,464,1019,1647,152.186279771425
"17","MIL",83,104.65,720,2462,1413,1413,723,2589,1984,666,436,1096,1660,161.245002619074
"18","MIN",48,59.88,599,2607,1580,1580,932,2516,1924,641,368,1085,1620,140.778147311487
"19","NOP",78,94.04,519,1956,1128,1128,580,2248,1531,502,380,828,1168,175.166170861824
"20","NYK",59,97.11,636,2445,1262,1262,962,2592,1499,526,451,975,1584,143.915205762282
"21","OKC",55,86.98,611,2380,1511,1511,936,2628,1610,595,395,1133,1561,146.918187328007
"22","ORL",62,104.11,618,2178,1232,1232,707,2452,1760,546,305,987,1445,133.143804816136
"23","PHI",39,56.29,718,1960,1225,1225,690,2354,1816,613,375,1197,1573,172.954607243973
"24","PHO",73,73.28,569,2554,1615,1615,882,2464,1531,588,385,1171,1887,149.234650075118
"25","POR",43,102.49,847,2148,1386,1386,706,2428,1508,522,342,978,1581,141.795740854535
"26","SAC",77,88.28,562,1838,998,998,525,1876,1402,506,232,850,1303,155.824663107405
"27","SAS",99,105.4,753,2469,1440,1440,821,2777,1954,655,484,1057,1498,149.704331552005
"28","TOR",57,108.46,626,2359,1570,1570,847,2535,1469,620,379,932,1609,158.755627589552
"29","UTA",71,80.32,791,2242,1401,1401,771,2774,1651,550,410,1060,1545,145.805561544578
"30","WAS",57,100.79,718,2526,1368,1368,806,2564,1893,655,325,1062,1643,147.805103098992
